X,Y,OBJECTID,KOD,NAZEV,TYP,POCET,OP_TYP,URCENO,ZMENA_G,ZMENA_T
12.8104598516342,49.3524037732063,5476,105421,Dubovka v Zapomenutém údolí,2,86,VYH,1,20100416,20110809
12.8105944734648,49.3522549274282,5477,105421,Dubovka v Zapomenutém údolí,2,86,VYH,1,20100416,20110809
15.7344728127614,49.6183828658541,5478,105458,Lipová alej u silnice II/351,2,274,ZAK,1,20100315,20111124
12.8105686346945,49.3523141954418,5479,105421,Dubovka v Zapomenutém údolí,2,86,VYH,1,20100416,20110809
15.7346107825542,49.6183212488883,5480,105458,Lipová alej u silnice II/351,2,274,ZAK,1,20100315,20111124
15.734536022376,49.6182063383419,5481,105458,Lipová alej u silnice II/351,2,274,ZAK,1,20100315,20111124
12.8106314609356,49.3521686232303,5482,105421,Dubovka v Zapomenutém údolí,2,86,VYH,1,20100416,20110809
17.128808219003,49.7181672795789,5483,100225,Dub v Rozpachách 1,1,1,ZAK,1,20090422,20130723
15.7346790549463,49.6181408328342,5484,105458,Lipová alej u silnice II/351,2,274,ZAK,1,20100315,20111124
12.8106799101624,49.3520586560518,5485,105421,Dubovka v Zapomenutém údolí,2,86,VYH,1,20100416,20110809
15.7345995814186,49.6179985396577,5486,105458,Lipová alej u silnice II/351,2,274,ZAK,1,20100315,20111124
12.8107795624765,49.3518553319602,5487,105421,Dubovka v Zapomenutém údolí,2,86,VYH,1,20100416,20110809
15.734658221828,49.6178076110514,5488,105458,Lipová alej u silnice II/351,2,274,ZAK,1,20100315,20111124
15.7347725721572,49.6177785641891,5489,105458,Lipová alej u silnice II/351,2,274,ZAK,1,20100315,20111124
12.8108457524113,49.351740164587,5490,105421,Dubovka v Zapomenutém údolí,2,86,VYH,1,20100416,20110809
12.8109001680934,49.3516452888702,5491,105421,Dubovka v Zapomenutém údolí,2,86,VYH,1,20100416,20110809
15.7347018440813,49.6176494432399,5492,105458,Lipová alej u silnice II/351,2,274,ZAK,1,20100315,20111124
15.73481950464,49.6175911262267,5493,105458,Lipová alej u silnice II/351,2,274,ZAK,1,20100315,20111124
12.8109778393817,49.3515086857651,5494,105421,Dubovka v Zapomenutém údolí,2,86,VYH,1,20100416,20110809
15.7347540530837,49.6174643070637,5495,105458,Lipová alej u silnice II/351,2,274,ZAK,1,20100315,20111124
14.7166654233313,50.1689889037157,5496,103657,Stromořadí lip malolistých,2,9,ZAK,1,20100611,20121010
14.7166973568272,50.1688990790181,5497,103657,Stromořadí lip malolistých,2,9,ZAK,1,20100611,20121010
14.7166409615698,50.1688357225368,5498,103657,Stromořadí lip malolistých,2,9,ZAK,1,20100611,20121010
14.3387828878112,50.1354426021105,5499,103549,Dub v Horoměřicích,1,1,ZAK,1,20100610,20100610
14.7101358248057,50.1664162606509,5500,103652,Dvě lípy malolisté,3,2,ZAK,1,20100611,20111201
13.5182513651693,50.0576859173051,5501,105212,Dub letní,1,1,ZAK,1,20100610,20120126
14.710179155618,50.166366430285,5502,103652,Dvě lípy malolisté,3,2,ZAK,1,20100611,20111201
15.7142239836238,50.2478657087889,5503,101662,Dub letní,1,1,ZAK,1,20100331,20130723
14.5821707875325,50.1549441592566,5504,103669,Vrba bílá smuteční,1,1,ZAK,1,20100610,20120120
14.1474720944177,50.1152436561263,5505,104084,Dub v Dolanech 2,1,1,ZAK,1,20100610,20100610
14.1489018165977,50.1145321557722,5506,104158,Dub v Dolanech 1,1,1,ZAK,1,20100610,20100610
14.0027948753099,50.1006577186749,5507,104140,Jasan ztepilý,1,1,ZAK,1,20100330,20161027
14.2948850494755,50.12658017502,5508,103526,Buk u Tuchoměřic,1,1,ZAK,1,20100610,20101004
14.6095593840878,50.1537789653537,5509,103668,Jenštejnská lípa,1,1,ZAK,1,20100610,20100610
14.3802628556402,50.1335816844855,5510,104331,Stromořadí lip srdčitých v Gagarinově ul.,2,19,ZAK,1,20100610,20190423
14.7528335683011,50.1660143262916,5511,103649,Lípa u Děkanského kostela,1,1,ZAK,1,20100610,20120120
14.3803929022564,50.1335041936256,5512,104331,Stromořadí lip srdčitých v Gagarinově ul.,2,19,ZAK,1,20100610,20190423
14.3806566322697,50.1333710458,5513,104331,Stromořadí lip srdčitých v Gagarinově ul.,2,19,ZAK,1,20100610,20190423
14.3807861033703,50.1332962264373,5514,104331,Stromořadí lip srdčitých v Gagarinově ul.,2,19,ZAK,1,20100610,20190423
14.3809150189081,50.1332239898054,5515,104331,Stromořadí lip srdčitých v Gagarinově ul.,2,19,ZAK,1,20100610,20190423
13.6082476092888,50.0619297065961,5516,103338,Dub u Zavidova,1,1,ZAK,1,20100610,20100610
14.3810327680272,50.133164285378,5517,104331,Stromořadí lip srdčitých v Gagarinově ul.,2,19,ZAK,1,20100610,20190423
14.7539258673083,50.1655896642186,5518,105145,Jinan dvoulaločný-Ginkgo biloba,1,1,ZAK,1,20100611,20110809
14.3811611085526,50.1330947204131,5519,104331,Stromořadí lip srdčitých v Gagarinově ul.,2,19,ZAK,1,20100610,20190423
14.5719795325073,50.1496347770132,5520,104301,Miranovy duby,3,11,ZAK,1,20100610,20100610
14.3812675333089,50.1330338286293,5521,104331,Stromořadí lip srdčitých v Gagarinově ul.,2,19,ZAK,1,20100610,20190423
14.3813831511312,50.1329722101328,5522,104331,Stromořadí lip srdčitých v Gagarinově ul.,2,19,ZAK,1,20100610,20190423
14.3815118771665,50.1329041313376,5523,104331,Stromořadí lip srdčitých v Gagarinově ul.,2,19,ZAK,1,20100610,20190423
14.3816444953686,50.1328409362851,5524,104331,Stromořadí lip srdčitých v Gagarinově ul.,2,19,ZAK,1,20100610,20190423
